Fecha,Categoria,Producto,Precio_ARS,Precio_USD,Dolar_ARS
2026-03-03,Sandwiches Calientes,"Menditeguy: pechuga de pavita, queso gratinado, salsa holandesa",12000.0,8.39,1430.0
2026-03-03,Sandwiches Calientes,"Enz: pechuga de pavita, tomate, salsa holandesa",12000.0,8.39,1430.0
2026-03-03,Sandwiches Calientes,"Goñi: pechuga de pavita, queso gratinado, lechuga, salsa holandesa",12000.0,8.39,1430.0
2026-03-03,Sandwiches Calientes,"Roncal: pechuga de pavita, queso gratinado, jamón, salsa holandesa",12500.0,8.74,1430.0
2026-03-03,Sandwiches Calientes,"Pavita Graten: pechuga, queso gratinado, salsa portuguesa, pan sandwich",10500.0,7.34,1430.0
2026-03-03,Sandwiches Calientes,"Suprema de Pavita: pechuga de pavita, choclo, salsa portuguesa, rebosado en pan rallado",12000.0,8.39,1430.0
2026-03-03,Sandwiches Calientes,"Hot - Dog: salchicha, salsa holandesa, pebete",6300.0,4.41,1430.0
2026-03-03,Sandwiches Calientes,"Hot - Dog Graten: salchicha, queso gratinado, salsa holandesa",6500.0,4.55,1430.0
2026-03-03,Sandwiches Calientes,"Frankfurt: salchicha envuelta en pan de sandwich, salsa holandesa",6300.0,4.41,1430.0
2026-03-03,Sandwiches Calientes,Frankfurt Graten,6500.0,4.55,1430.0
2026-03-03,Sandwiches Calientes,"Oxford: salchicha, jamón y queso, envuelta en pan de sandwich, salsa holandesa",7000.0,4.9,1430.0
2026-03-03,Sandwiches Calientes,"Burgeois: jamón, queso, salsa holandesa",10500.0,7.34,1430.0
2026-03-03,Sandwiches Calientes,Calamares Graten,16000.0,11.19,1430.0
2026-03-03,Sandwiches Calientes,Mejillones Graten,16000.0,11.19,1430.0
2026-03-03,Sandwiches Calientes,"Lucía: queso, champignon, salsa holandesa",12000.0,8.39,1430.0
2026-03-03,Sandwiches Calientes,"Vegeta: queso, morrones, cebolla, salsa holandesa$12000",12000.0,8.39,1430.0
2026-03-03,Sandwiches Calientes,"Andrés: pechuga de pavita, choclo, salsa portuguesa",10500.0,7.34,1430.0
2026-03-03,Sandwiches Calientes,"Lomo: lomo, salsa holandesa",12000.0,8.39,1430.0
2026-03-03,Sandwiches Calientes,"Pedrito: lomo, queso gratinado, salsa holandesa",12500.0,8.74,1430.0
2026-03-03,Sandwiches Calientes,"Jorge I: lomo, pimientos morrones, salsa holandesa",12500.0,8.74,1430.0
2026-03-03,Sandwiches Calientes,"Hamburger: lomo, cebolla frita, salsa holandesa",12500.0,8.74,1430.0
2026-03-03,Sandwiches Calientes,"Galli: lomo, jamón, queso, salsa holandesa",13000.0,9.09,1430.0
2026-03-03,Sandwiches Calientes,"Lomo Champignon: lomo, champignones, salsa holandesa",13000.0,9.09,1430.0
2026-03-03,Sandwiches Calientes,"Duende: lomo, jamón, tomate, salsa holandesa",13000.0,9.09,1430.0
2026-03-03,Sandwiches Calientes,Lomo 1/2 Caballo,12500.0,8.74,1430.0
2026-03-03,Sandwiches Calientes,"Hamenech: huevo, jamón, salsa holandesa",10500.0,7.34,1430.0
2026-03-03,Sandwiches Calientes,"Fangio: huevo, jamón, cebolla, salsa holandesa",12000.0,8.39,1430.0
